name,Has Tests (static),Tests in CI (configured),Tests in CI (recent runs),Coverage in CI (configured),Coverage Tool (configured),Test Tool (guess),Test Evidence,Coverage Latest (%),Coverage Mean (%),Coverage Best (%),Coverage Samples,Method,Latest Run ID,Latest Run Date
rui,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17451855612,2025-09-04T02:52:14Z
vpncloud,Yes,Yes,No,Yes,cargo,cargo,files/workflow,,,,0,,17631430548,2025-09-11T01:39:15Z
spider,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,17632424366,2025-09-11T02:43:18Z
static-web-server,Yes,Yes,Yes,Yes,upload-artifact,cargo,files/jobs/workflow,,,,0,,17632437566,2025-09-11T02:44:08Z
proptest,No,Yes,No,Yes,,cargo,workflow,,,,0,,17632344903,2025-09-11T02:38:13Z
inferno,Yes,Yes,No,Yes,codecov/llvm-cov/llvm-tools/report-file,cargo,files/workflow,,,,0,,17652349178,2025-09-11T17:27:29Z
taplo,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17337532128,2025-08-30T01:19:41Z
fantoccini,Yes,Yes,No,Yes,codecov/llvm-cov/llvm-tools/report-file,cargo,files/workflow,,,,0,,17642456144,2025-09-11T11:02:18Z
gloo,No,Yes,No,Yes,upload-artifact,cargo,workflow,,,,0,,17495347048,2025-09-05T14:00:52Z
MCHPRS,Yes,Yes,Yes,Yes,upload-artifact,cargo,files/jobs/workflow,,,,0,,17636259215,2025-09-11T06:38:26Z
open-tv,No,No,No,Yes,upload-artifact,,workflow,,,,0,,17542570465,2025-09-08T07:02:42Z
winapi-rs,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,,
aurae,No,Yes,No,No,,,workflow,,,,0,,15487448149,2025-06-06T09:32:31Z
lucky-commit,No,Yes,No,No,,cargo,workflow,,,,0,,14787961551,2025-05-02T03:18:18Z
rumqtt,No,Yes,Yes,Yes,cargo/coveralls/llvm-cov/llvm-tools/report-file,,jobs/workflow,,,,0,,17651047708,2025-09-11T16:31:50Z
