Project,Repo URL,Created At,First CI Run Date,Time to First CI (months),Active Period (months),Total PRs,Total Issues,Contributors,Workflows Used,Workflow Runs (Success),Workflow Runs (Failure)
bheisler/iai,https://github.com/bheisler/bheisler/iai,2021-01-02T20:54:31Z,,,56,9,31,3,No,0,0
dimforge/salva,https://github.com/dimforge/dimforge/salva,2019-09-24T08:33:49Z,2024-08-26,59,71,41,26,8,Yes,17,13
RazrFalcon/pico-args,https://github.com/RazrFalcon/RazrFalcon/pico-args,2019-07-08T16:37:49Z,2025-02-21,67,74,34,28,16,Yes,1,0
frondeus/test-case,https://github.com/frondeus/frondeus/test-case,2019-06-27T07:25:22Z,2024-07-15,61,74,76,75,26,Yes,0,225
narrowlink/narrowlink,https://github.com/narrowlink/narrowlink/narrowlink,2023-07-30T21:04:19Z,2024-09-03,13,25,50,49,3,Yes,29,16
zesterer/pollster,https://github.com/zesterer/zesterer/pollster,2020-04-07T14:18:29Z,2024-10-25,55,65,22,7,10,Yes,9,3
chipsenkbeil/distant,https://github.com/chipsenkbeil/chipsenkbeil/distant,2021-07-26T02:03:40Z,2024-07-15,36,49,38,202,2,Yes,404,7
ruma/ruma,https://github.com/ruma/ruma/ruma,2020-06-03T12:05:42Z,2024-07-14,49,63,1565,627,158,Yes,2343,244
gschup/ggrs,https://github.com/gschup/gschup/ggrs,2021-04-13T13:30:48Z,2024-11-11,43,52,52,45,13,Yes,36,5
dropbox/pb-jelly,https://github.com/dropbox/dropbox/pb-jelly,2020-07-13T18:28:34Z,2024-11-21,52,61,151,28,11,Yes,23,13
kawasin73/prsqlite,https://github.com/kawasin73/kawasin73/prsqlite,2023-02-18T07:53:47Z,2024-08-25,18,30,5,37,1,Yes,2,1
baoyachi/shadow-rs,https://github.com/baoyachi/baoyachi/shadow-rs,2020-07-27T10:13:01Z,2024-07-18,48,61,130,108,28,Yes,574,90
seanmonstar/num_cpus,https://github.com/seanmonstar/seanmonstar/num_cpus,2015-03-17T01:09:24Z,2024-10-07,115,125,99,45,54,Yes,8,9
dotenv-rs/dotenv,https://github.com/dotenv-rs/dotenv-rs/dotenv,2019-05-06T21:55:08Z,2025-08-23,76,76,41,57,32,No,0,0
zaeleus/noodles,https://github.com/zaeleus/zaeleus/noodles,2018-10-06T20:14:49Z,2024-07-14,69,83,65,249,22,Yes,183,6
NilsIrl/MozWire,https://github.com/NilsIrl/NilsIrl/MozWire,2020-08-15T16:49:31Z,2024-09-03,49,60,38,33,6,Yes,4,0
microsoft/com-rs,https://github.com/microsoft/microsoft/com-rs,2019-07-31T14:28:22Z,2024-09-07,61,73,148,93,23,Yes,0,2
RustCrypto/RSA,https://github.com/RustCrypto/RustCrypto/RSA,2018-07-17T18:15:35Z,2024-07-27,72,85,377,193,51,Yes,567,105
