Project,Bug Issues Before CI,Bug Issues After CI
RustCrypto/hashes,73,8
0x192/universal-android-debloater,330,16
HigherOrderCO/Bend,90,41
rayon-rs/rayon,204,15
rathole-org/rathole,85,7
microsoft/edit,62,59
imsnif/bandwhich,73,3
Spotifyd/spotifyd,503,23
seanmonstar/warp,309,5
orf/gping,61,2
rust-bakery/nom,516,27
johnthagen/min-sized-rust,12,0
sharkdp/hexyl,33,4
actix/actix,134,1
serde-rs/serde,1073,72
vi/websocat,100,18
linkerd/linkerd2-proxy,0,0
mainmatter/100-exercises-to-learn-rust,13,22
jpochyla/psst,145,53
sharkdp/pastel,24,3
dtolnay/anyhow,179,17
rust-lang/futures-rs,522,17
ynqa/jnv,7,6
flamegraph-rs/flamegraph,83,8
tealdeer-rs/tealdeer,48,14
image-rs/image,468,46
WebAssembly/WASI,81,2
PaulJuliusMartinez/jless,33,2
serde-rs/json,407,37
console-rs/indicatif,106,15
dtolnay/thiserror,174,39
rhaiscript/rhai,196,27
dimforge/rapier,142,36
webrtc-rs/webrtc,104,26
ProvableHQ/leo,111,125
bytedance/monoio,23,14
dtolnay/proc-macro-workshop,16,0
smol-rs/smol,43,4
tokio-rs/mini-redis,10,1
plotters-rs/plotters,185,23
tokio-rs/tokio,1233,173
async-rs/async-std,170,3
ivanceras/svgbob,32,0
rust-ndarray/ndarray,196,17
youki-dev/youki,144,38
quinn-rs/quinn,263,66
meilisearch/meilisearch,1248,268
n0-computer/iroh,243,104
