name,Last Commit Date,Total Commits (since inception),Avg Commits/Weekday (Mon–Fri)
jeromefroe/lru-rs,2025-07-03,392,0.13
golemparts/rppal,2025-07-01,1046,0.36
LukeMathWalker/cargo-chef,2025-07-01,264,0.14
queer/boxxy,2025-06-29,309,0.44
not-fl3/nanoserde,2025-06-28,179,0.09
dyc3/steamguard-cli,2025-06-28,720,0.2
rust-fuzz/cargo-fuzz,2025-06-27,561,0.21
m-ou-se/inline-python,2025-06-27,162,0.06
estk/log4rs,2025-06-27,547,0.14
rxRust/rxRust,2025-06-26,607,0.28
regexident/cargo-modules,2025-06-25,937,0.31
owo-colors/owo-colors,2025-06-24,178,0.1
fitzgen/bumpalo,2025-06-24,441,0.23
latex-lsp/texlab,2025-06-24,2553,0.98
yamafaktory/jql,2025-06-24,560,0.23
awslabs/flowgger,2025-06-23,555,0.18
kornelski/cavif-rs,2025-06-21,149,0.09
brendanzab/codespan,2025-06-21,705,0.3
snapview/tokio-tungstenite,2025-06-18,354,0.13
rust-num/num-traits,2025-06-17,1179,0.33
awesome-rust-com/awesome-rust,2025-06-16,136,0.07
juhaku/utoipa,2025-06-16,821,0.63
sharkdp/hexyl,2025-06-16,474,0.16
mlange-42/git-graph,2025-06-12,149,0.1
esp-rs/std-training,2025-06-11,659,0.74
sstadick/hck,2025-06-10,208,0.18
zesterer/ariadne,2025-06-10,118,0.1
mainmatter/100-exercises-to-learn-rust,2025-06-09,212,0.69
DNSCrypt/doh-server,2025-06-08,361,0.12
sharkdp/pastel,2025-06-08,500,0.14
rust-lang/polonius,2025-06-06,524,0.25
alexcrichton/tar-rs,2025-06-05,529,0.16
servo/font-kit,2025-06-03,365,0.17
graphql-rust/graphql-client,2025-06-03,842,0.33
HigherOrderCO/Bend,2025-06-03,2133,4.42
fu5ha/ultraviolet,2025-06-02,274,0.15
colored-rs/colored,2025-06-02,166,0.05
Spotifyd/spotifyd,2025-05-31,886,0.26
erickt/rust-zmq,2025-05-30,708,0.14
Canop/termimad,2025-05-30,246,0.12
nagisa/rust_libloading,2025-05-26,226,0.05
rust-ndarray/ndarray,2025-05-26,3307,0.85
Trouv/bevy_ecs_ldtk,2025-05-25,708,0.43
zesterer/pollster,2025-05-25,63,0.03
hanshuaikang/Nping,2025-05-25,46,0.15
mooman219/fontdue,2025-05-25,280,0.14
wormtql/yas,2025-05-25,307,0.2
matklad/once_cell,2025-05-24,515,0.23
microsoft/Spartan,2025-05-23,55,0.04
helix-editor/nucleo,2025-05-23,120,0.14
gschup/ggrs,2025-05-21,726,0.49
cmyr/cargo-instruments,2025-05-19,93,0.04
sfackler/rust-postgres,2025-05-19,2931,0.63
ogxd/gxhash,2025-05-18,176,0.24
